"","STATE","CA","COND","MG","Sodium","ANC","CL","NH4","NO3","NTL","PTL"
"140","OR",2745,500,1705.3,1477.2,4977,101,0.4,1.4,101.875,5.18375
"141","OR",271.2,70.8,146.3,232.1,416.5,218,0.9,4.3,208.75,23.28875
"142","OR",391.1,91.64,338.4,208.4,829.7,64.3,1.1,9.3,266,57.473
"143","OR",830.3,192.6,803.9,492.4,2165,33.6,0.6,1.9,219,24.866
"144","OR",292.4,91.8,301.7,324.8,857.5,43.4,0.5,4.3,217.5,101.12375
"145","OR",170.3,25.94,12.4,55.4,209.9,13.1,2.8,1.7,284,3.399
"146","OR",2426.6,431.8,2318.2,340,4724.2,43.2,0.9,3.6,190.625,15.88125
"147","OR",994,201.3,785.8,416.8,2169.1,20.6,0.6,2.1,78.125,52.525
"148","OR",1678.1,358.5,1275.8,929.1,3742.1,62.6,0.9,3.6,220,59.64875
"149","OR",582.8,112.2,297.7,236.5,1134.9,12.7,0.7,0,84.375,82.37125
"150","OR",142.9,43.57,94.4,182.7,400,24,0.9,0,166.25,21.525
"151","OR",2752.5,408.8,853.9,937.8,4532.8,91.7,0.9,2.9,333.125,65.69125
"152","OR",832.3,157.5,587,213.2,1488.8,12.4,0.4,0,75.625,6.94875
"153","OR",567.4,116.3,369.7,248.8,1202.6,13,1.4,3.6,237,11.406
"154","OR",1394.2,313.2,1040.6,1110.9,3371.5,138.2,1,30.7,625,53.553
"155","OR",274.2,66.71,157.8,217.8,655.9,10.4,0.9,0,131.875,17.2225
"156","ID",503.5,117.4,206.2,383.3,969.9,124.4,0.6,4.3,207,40
"157","ID",105.4,22.4,14.7,75.9,185.2,5.4,0.5,2.1,566,83
"158","ID",274.9,51.06,78.3,142,462,11,0.4,5,238,44
"159","ID",83.9,19.49,20,66,150,3.4,0.2,0.7,25,2
"160","ID",2991.9,366.1,842.9,291.6,3806.9,181.1,0.4,7.9,181,17
"161","ID",2141.4,280.3,714.1,68.3,2411.6,33.6,1,5.7,176,23
"162","ID",784,130.5,165.4,358,1195.8,51.1,0.4,2.1,490,120
"163","ID",205.8,45.86,63.7,153.3,394.3,35,0.7,6.4,280,33
"164","ID",999.9,182.9,364.8,423.9,1649.6,145.8,0.5,0,224,23
"165","ID",571.4,105.8,351.2,179.6,934.3,86,0.6,0,208,33
"166","OR",430,83.63,182.9,209.2,802.6,39.2,0.7,5,120,23
"167","WA",304.9,50.23,129.4,123.9,533.5,7.3,0.4,0,36,3
"168","WA",442,97.44,389.1,159.9,816.4,38.1,1,22.1,395,10
"169","WA",204.9,56.38,283.2,52.2,501,13.3,0.2,1.4,49,1
"170","WA",120.7,24.38,40.7,48.4,171.8,10.4,0.5,2.9,51,1
"171","WA",79.2,12.84,8.9,19,82,3.9,0.4,3.6,50,2
"172","WA",216.4,36.24,47.7,92.9,252.9,17.8,0.4,0,29,1
"173","WA",1081,188.8,531.7,264.8,1762.6,27.4,0.5,6.4,144,22
"174","WA",219.8,44.97,121.1,69.1,343.3,13.8,0.4,1.4,74,2
"175","WA",282.5,46.58,73.4,89.2,373.5,29.6,0.4,2.1,43,2
"176","WA",314.4,62.26,137.9,178.4,531.7,49.4,0.5,16.4,300,13
"177","WA",215.1,32.23,33.1,62.2,286.1,5.6,0.4,0,15,3
"178","WA",848.3,141.5,454.8,99.5,1536.2,20.6,0.2,0,23,1
"179","WA",1132.4,168.6,452.2,168.6,1781.4,25.4,0.8,3.6,120,26
